0 1 2 3 4 5 6 7 8 9
PD37449_9 0.0172645739910314 0.662711509715994 0.111307922272048 0.109321375186846 0.00682511210762332 0.0763677130044843 0.00339760837070254 0.00464275037369208 0.00786846038863976 0.000292974588938715
PD37449_16 0.00429285714285714 0.686614285714286 0.0773955357142857 0.0230794642857143 0.00278839285714286 0.00340982142857143 0.00469910714285714 0.0132875 0.183710714285714 0.000722321428571429
PD37449_7 0.0167483258928571 0.536129464285714 0.138618303571429 0.0736501116071429 0.202400111607143 0.00705970982142857 0.0164241071428571 0.00545200892857143 0.00233203125 0.00118582589285714
PD37449_5 0.00585060975609756 0.619056707317073 0.14669512195122 0.042544512195122 0.0325762195121951 0.00575853658536585 0.00285487804878049 0.0299707317073171 0.114307317073171 0.000385365853658537
PD37449_3 0.00340922190201729 0.709527377521614 0.115240634005764 0.157801152737752 0.00179106628242075 0.0044193083573487 0.00319596541786743 0.00351008645533141 0.000903458213256484 0.000201729106628242
PD37449_6 0.00639840637450199 0.783969123505976 0.117410358565737 0.048503984063745 0.00365637450199203 0.0140308764940239 0.00481573705179283 0.00899302788844621 0.0117709163346614 0.000451195219123506
PD37449_8 0.0248343949044586 0.703865534324133 0.158157820240623 0.067138711960368 0.0151507430997877 0.0107048832271762 0.00773743807501769 0.00908775654635527 0.00325902335456476 6.36942675159236e-05
PD37449_18 0.00396153846153846 0.340163461538462 0.0365576923076923 0.00627884615384615 0.00317307692307692 0.00657692307692308 0.000923076923076923 0.00678846153846154 0.595192307692308 0.000384615384615385
PD41851_9 0.0228112346735101 0.565420444824636 0.190896920444825 0.0663949244368406 0.146382378100941 0.00335685771314514 0.000894781864841745 0.00230581693755346 0.00146749358426005 6.91474194468206e-05
PD41851_3 0.00463513513513514 0.50549005609383 0.226689954105048 0.0127819989801122 0.244174910759816 0.00288755736868944 0.00122106068332483 0.00122972972972973 0.000416369199388067 0.000473227944926058
PD41851_8 0.0156512810085401 0.589136234241562 0.222399959333062 0.0449168361122407 0.0882651484343229 0.00331679544530297 0.0268265555103701 0.00896400976006507 0.000382472549816999 0.000140707604717365
PD41851_2 0.0208150111607143 0.571761439732143 0.247259207589286 0.057029296875 0.0827809709821429 0.00624776785714286 0.00832449776785714 0.00452845982142857 0.00119782366071429 5.55245535714286e-05
PD41851_7 0.00689420884632923 0.592598495212038 0.235851801185591 0.0696830825353397 0.0828426812585499 0.00461171910624715 0.00499612403100775 0.00191153670770634 0.000552439580483356 5.79115367077063e-05
PD41851_5 0.00737209908735333 0.661319426336376 0.229461799217731 0.0425543676662321 0.047845371577575 0.00228161668839635 0.00599608865710561 0.0025728813559322 0.000571056062581486 2.52933507170795e-05
PD41851_4 0.0279329284393979 0.667129125957222 0.244858199102192 0.0233105360443623 0.0193546342751518 0.00354264589384737 0.0107388434116715 0.00263929231581727 0.000442830736730922 5.09638236070768e-05
PD41851_1 0.0194244139046079 0.61035273511183 0.257160873080032 0.0559444893559687 0.0463252492589599 0.00395984909727836 0.00378954459714363 0.00200242522231205 0.000932093775262732 0.000108326596604689
PD41851_11 0.00230589651022864 0.532326835138388 0.191136221419976 0.0369222623345367 0.228075812274368 0.0039812274368231 0.000593261131167268 0.00214801444043321 0.00244933814681107 6.11311672683514e-05
